Algorithm,Silhouette Score,Davies-Bouldin,ARI (vs true)
K-Means,0.3521691479861419,0.8821365172217405,0.06438965734489653
DBSCAN,0.4811430692290852,0.0,0.06595278520329374
Hierarchical,0.3022513013181222,0.9351114025486448,0.07435997528283159
